"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'01 - 5","'359","'11","'359000","'359","'359000","'11","'1","'29","'1","'29",
"'01-12","'422","'10","'422000","'781","'781000","'21","'2","'-","'3","'29",
"'01 - 19","'387","'10","'387000","'1108","'1'108000","'31","'2","'-","'5","'29",
"'02 - 9","'516","'16","'516000","'1684","'1'684000","'47","'2","'23","'7","'52",
"'02-16","'464","'10","'464000","'2148","'2'1 48000","'57","'2","'12","'9","'64",
"'02-23","'1020","'20","'1'020 000","'3168","'3,168000","'77","'5","'-","'14","'04",
"'03.1","'434","'15","'434000","'3602","'3'602000","'92","'2","'6","'16","'70",
"'03-8","'979","'19","'979000","'4581","'4'581000","'111","'4","'35","'20","'105",
"'03-15","'806","'20","'806000","'5387","'5'387000","'131","'4","'-","'24","'105",
"'03 - 22","'751","'15","'751000","'6138","'6'138000","'146","'3","'35","'27","'140",
"'03-29","'1278","'18","'1278000","'7416","'7'416 000","'104 the","'6","'15","'33","'155",
"'04.5","'3651","'41","'3'651000","'11007","'11'067000","'205","'18","'9","'51","'104",
"'04-12","'4091","'53","'4001000","'15158","'15'158000","'258","'20","'17","'71","'181",
"'04-19","'2199","'44","'2'199000","'17357","'17'357000","'302","'11","'-","'82","'181",
"'04-26","'707","'14","'707000","'18064","'18'064000","'316","'3","'21","'85","'202",
"'05.3","'740","'16","'740000","'18804","'18'804 000","'332","'3","'14","'88","'216",
"'05 - 10","'681","'15","'681000","'19485","'19'485000","'1013","'3","'28","'91","'244",
"'05 - 17","'395","'10","'395000","'19880","'19'880000","'1023","'2","'-","'93","'244",
"'05.22","'356","'10","'356000","'20236","'20'236000","'1033","'1","'11","'94","'255",
"'06-28","'181","'9","'217200","'20417","'20'453200","'1042","'1","'-","'9's","'255",
"'07-19","'324","'10","'388800","'20741","'20'842000","'1052","'1","'25","'96","'280",
"'TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'93.60351563","'91.40625000","'94.48242188","'95.50781250","'93.65234375","'96.33789063","'93.84765625","'95.60546875","'94.14062500","'93.65234375","'93.35937500",
"'87.35351563","'85.35156250","'88.23242188","'89.16015625","'87.40234375","'89.94140625","'87.59765625","'89.25781250","'87.89062500","'87.40234375","'87.15820313",
"'89.74609375","'87.64648438","'90.62500000","'91.55273438","'89.79492188","'92.33398438","'89.94140625","'91.65039063","'90.28320313","'89.79492188","'89.50195313",
"'89.94140625","'87.89062500","'90.82031250","'91.79687500","'89.99023438","'92.57812500","'90.18554688","'91.89453125","'90.52734375","'89.99023438","'89.74609375",
"'89.16015625","'87.10937500","'90.03906250","'91.01562500","'89.20898438","'91.79687500","'89.40429688","'91.11328125","'89.74609375","'89.20898438","'88.96484375",
"'90.18554688","'88.13476563","'91.06445313","'92.04101563","'90.23437500","'92.82226563","'90.42968750","'92.13867188","'90.77148438","'90.23437500","'89.94140625",
"'90.18554688","'88.13476563","'91.06445313","'92.04101563","'90.23437500","'92.82226563","'90.42968750","'92.13867188","'90.77148438","'90.23437500","'89.94140625",
"'90.13671875","'88.08593750","'91.01562500","'91.99218750","'90.18554688","'92.77343750","'90.38085938","'92.08984375","'90.72265625","'90.18554688","'89.89257813",
"'90.38085938","'88.28125000","'91.25976563","'92.23632813","'90.42968750","'93.01757813","'90.62500000","'92.33398438","'90.91796875","'90.42968750","'90.13671875",
"'89.59960938","'87.50000000","'90.47851563","'91.40625000","'89.64843750","'92.18750000","'89.84375000","'91.50390625","'90.13671875","'89.64843750","'89.35546875",
"'89.74609375","'87.64648438","'90.62500000","'91.55273438","'89.79492188","'92.33398438","'89.94140625","'91.65039063","'90.28320313","'89.79492188","'89.50195313",
"'89.50195313","'87.45117188","'90.38085938","'91.35742188","'89.55078125","'92.13867188","'89.74609375","'91.40625000","'90.03906250","'89.55078125","'89.25781250",
"'90.33203125","'88.23242188","'91.21093750","'92.18750000","'90.38085938","'92.96875000","'90.57617188","'92.28515625","'90.86914063","'90.38085938","'90.08789063",
"'89.55078125","'87.45117188","'90.42968750","'91.40625000","'89.59960938","'92.18750000","'89.79492188","'91.45507813","'90.08789063","'89.59960938","'89.30664063",
"'89.45312500","'87.40234375","'90.33203125","'91.30859375","'89.50195313","'92.08984375","'89.69726563","'91.35742188","'89.99023438","'89.50195313","'89.20898438",
"'89.74609375","'87.64648438","'90.62500000","'91.55273438","'89.79492188","'92.33398438","'89.94140625","'91.65039063","'90.28320313","'89.79492188","'89.50195313",
"'89.01367188","'86.96289063","'89.89257813","'90.86914063","'89.06250000","'91.65039063","'89.25781250","'90.96679688","'89.59960938","'89.06250000","'88.81835938",
"'90.03906250","'87.98828125","'90.91796875","'91.89453125","'90.08789063","'92.67578125","'90.28320313","'91.99218750","'90.62500000","'90.08789063","'89.84375000",
"'87.93945313","'85.88867188","'88.76953125","'89.74609375","'87.93945313","'90.47851563","'88.13476563","'89.79492188","'88.47656250","'87.93945313","'87.69531250",
"'90.82031250","'88.72070313","'91.69921875","'92.67578125","'90.82031250","'93.45703125","'91.01562500","'92.77343750","'91.35742188","'90.82031250","'90.57617188",
"'89.16015625","'87.10937500","'90.03906250","'91.01562500","'89.20898438","'91.79687500","'89.40429688","'91.11328125","'89.74609375","'89.20898438","'88.96484375",
"'88.33007813","'86.27929688","'89.20898438","'90.13671875","'88.37890625","'90.91796875","'88.57421875","'90.23437500","'88.86718750","'88.37890625","'88.08593750",
"'92.87109375","'90.72265625","'93.79882813","'94.77539063","'92.91992188","'95.60546875","'93.11523438","'94.87304688","'93.45703125","'92.91992188","'92.62695313",
